"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000120889.13",2855.17327514944,1.26461047803021,0.208673916595288,6.06022304398902,1.35932919491039e-09,2.80934288115471e-07
"ENSG00000152953.13",74.0358269634241,-1.54122205700702,0.254530562608968,-6.05515518926023,1.4028235674901e-09,2.86610883073902e-07
"ENSG00000164171.11",2219.54247204193,2.82769265499591,0.467146634793265,6.05311575507186,1.42070700339682e-09,2.87390740459411e-07
"ENSG00000272482.1",322.332221312183,4.52867590739191,0.748484977656193,6.05045664586751,1.44435830271416e-09,2.89310632183853e-07
"ENSG00000017427.17",79.1985493204653,-2.50614735142878,0.414772828981523,-6.04221679029131,1.52011024140185e-09,3.01527886816322e-07
"ENSG00000225465.9",12.8251351203259,-2.46144562777212,0.409363324856242,-6.01286309328399,1.82274969749042e-09,3.54672372089779e-07
"ENSG00000287763.1",56.3131726817547,-2.87830154730331,0.478645325423794,-6.01343289993452,1.81635133331519e-09,3.54672372089779e-07
"ENSG00000197766.8",1505.31809412246,-2.74011914828871,0.456244209563775,-6.00581682101478,1.90371028658164e-09,3.66931177973108e-07
"ENSG00000124145.6",32770.5511822207,2.68745032060626,0.447880378150147,6.00037521560125,1.9686208866823e-09,3.75896199400058e-07
"ENSG00000143324.14",4390.54272058977,1.35288165771408,0.225571138825141,5.99758313390799,2.00275842890761e-09,3.7887368019455e-07
"ENSG00000104611.12",2912.11704215509,1.28498038644378,0.214834085721755,5.98126867124816,2.21406327702356e-09,4.11232061935166e-07
"ENSG00000109101.8",45.5408584108354,-2.99972476872409,0.501497753372848,-5.98153181853617,2.21048865741703e-09,4.11232061935166e-07
"ENSG00000277363.5",873.575804933949,2.86510901883673,0.479217702708005,5.9787211587684,2.24896135226333e-09,4.13950715208037e-07
"ENSG00000157765.13",95416.4693092196,5.02846835165966,0.842058541119347,5.9716374884997,2.34883993109536e-09,4.28474541359012e-07
"ENSG00000183248.12",538.963401052276,2.53137767393051,0.424293755052026,5.96609694059749,2.42995950258424e-09,4.39349580507067e-07
"ENSG00000197406.7",30.0839290890983,-4.05192210012297,0.679915839236404,-5.9594465466102,2.53093630661372e-09,4.53592628775658e-07
"ENSG00000088387.19",11974.6905813259,1.53965680788195,0.258708888130205,5.95131005745369,2.66004607692206e-09,4.72586099109518e-07
"ENSG00000163347.6",12230.8468868817,3.48688907566331,0.58671193561649,5.94310233692357,2.79677706682979e-09,4.9259441596896e-07
"ENSG00000158321.18",1443.32864096741,1.24165464723632,0.20940518363118,5.92943606125438,3.0397684742931e-09,5.30816322207541e-07
"ENSG00000136928.7",1893.74472606866,2.56170514056037,0.432261704437211,5.92628288433652,3.0986860916782e-09,5.32010550748549e-07
"ENSG00000143217.9",884.284863650233,3.69932848013307,0.624148029108823,5.92700498536394,3.08509613775365e-09,5.32010550748549e-07
"ENSG00000071909.19",504.919573497648,1.60799642278273,0.272694273997218,5.89670035682209,3.7084240061055e-09,6.31390090572845e-07
"ENSG00000188157.15",20288.2257838129,1.39048937113205,0.235936158781841,5.89349838664522,3.78103794522141e-09,6.38432944287757e-07
"ENSG00000239887.6",337.50320817081,1.98835587317422,0.339034596016867,5.86475804102099,4.49788103563674e-09,7.53247601959789e-07
"ENSG00000253636.1",31.1557105149594,-1.22447268668701,0.208902316788038,-5.86146054057131,4.58813513962798e-09,7.621153580304e-07
"ENSG00000158825.6",165.484845782976,1.96208398888493,0.335072033274363,5.85570800914424,4.74982104273109e-09,7.82609626806765e-07
"ENSG00000163638.13",1944.59486848179,2.30333241629954,0.395464187186674,5.82437674745067,5.7326125909336e-09,9.36984062762916e-07
"ENSG00000196950.14",5336.67061509166,1.17355639291416,0.201583685560964,5.82168338498428,5.82578347362463e-09,9.44655413885911e-07
"ENSG00000009694.13",2844.76850534483,4.19329578131169,0.720524317508446,5.81978384270499,5.89237800599246e-09,9.47930512129386e-07
"ENSG00000260912.1",477.377695110867,1.68964914384074,0.290475798817695,5.81683276444374,5.99730882470906e-09,9.5727356716899e-07
"ENSG00000164530.15",1056.22362639342,-4.51549298903864,0.77729715500727,-5.8092236153835,6.27632132069189e-09,9.94042797698108e-07
"ENSG00000278869.1",46.5176100039651,-2.00117268703408,0.345884769903532,-5.78566291771739,7.22269203181318e-09,1.13512939155366e-06
"ENSG00000101938.15",1413.03311527192,-4.24680253506853,0.737368728641098,-5.7594014637629,8.44127185019728e-09,1.3065426149347e-06
"ENSG00000205890.3",34.9922385296461,1.79184167646172,0.311102870518537,5.75964366215948,8.42916917621829e-09,1.3065426149347e-06
"ENSG00000116584.20",6652.11257843943,1.01158763972076,0.175740698171442,5.75613759502604,8.60602478708051e-09,1.31216188376748e-06
"ENSG00000169903.7",407.302325404389,5.79446291400462,1.00662634163766,5.75631957393221,8.59675717016679e-09,1.31216188376748e-06
"ENSG00000204131.9",2500.23344800299,2.18446272514234,0.379736531612056,5.75257459657322,8.78944630562762e-09,1.33020131459465e-06
"ENSG00000188906.16",6839.90999341241,3.27509589597376,0.569906632526542,5.74672360181951,9.09892817837456e-09,1.36691324714978e-06
"ENSG00000168036.18",29264.7497868307,0.814026017926447,0.141845652530539,5.7388154194658,9.5341060957921e-09,1.42183446454838e-06
"ENSG00000109586.12",3029.84797477844,2.13274614699418,0.372149976917068,5.73087808485732,9.99120604921742e-09,1.46856353087454e-06
"ENSG00000214013.9",1170.31941648378,0.887955787138849,0.154942317656626,5.73087972716843,9.99110930288457e-09,1.46856353087454e-06
"ENSG00000062598.18",3108.90811459444,0.733095472962873,0.128252450235856,5.71603483297756,1.09038395978456e-08,1.5413445945624e-06
"ENSG00000131724.11",6729.07246430141,0.669937088313784,0.117232875772843,5.71458376242422,1.09972869944518e-08,1.5413445945624e-06
"ENSG00000161714.12",4620.86526891126,3.17066261906744,0.554325870868122,5.71985322298219,1.06616113015805e-08,1.5413445945624e-06
"ENSG00000166856.3",36.8735451463854,-2.85719057380289,0.499940735526562,-5.71505854747674,1.09666260012565e-08,1.5413445945624e-06
"ENSG00000184292.7",14352.8254188783,4.65377474426573,0.814395217248032,5.71439351030518,1.10095965914308e-08,1.5413445945624e-06
"ENSG00000188536.13",639.033231037445,-2.57345319538759,0.4499016259189,-5.72003533023791,1.06501905294278e-08,1.5413445945624e-06
